s_supplier_id:integer,s_name:string,s_rating:integer,s_region_id:integer
82,Supplier_C927,2,14
83,Supplier_U226,8,10
84,Supplier_D18,7,2
85,Supplier_M516,14,1
86,Supplier_X240,9,13
87,Supplier_P873,10,3
88,Supplier_O230,2,11
89,Supplier_K197,8,1
90,Supplier_F974,15,4
91,Supplier_C643,5,12
92,Supplier_S255,14,4
93,Supplier_X836,6,2
94,Supplier_E503,4,14
95,Supplier_R630,9,5
96,Supplier_F769,10,15
97,Supplier_H70,1,11
98,Supplier_I759,6,9
99,Supplier_M294,3,13
100,Supplier_N256,8,13
101,Supplier_R687,13,14
102,Supplier_M602,13,6
103,Supplier_W375,8,14
104,Supplier_Z153,12,8
105,Supplier_K772,9,7
106,Supplier_O509,10,3
107,Supplier_L663,10,10
108,Supplier_P248,15,12
109,Supplier_A458,14,2
110,Supplier_J181,11,13
111,Supplier_G370,15,4
112,Supplier_X82,13,14
113,Supplier_Q620,6,7
114,Supplier_K774,9,15
115,Supplier_O643,6,14
116,Supplier_U635,8,9
117,Supplier_X376,2,9
118,Supplier_N52,15,3
119,Supplier_V328,12,12
120,Supplier_R336,8,13
121,Supplier_L962,6,2
122,Supplier_P229,3,5
123,Supplier_Z198,6,13
124,Supplier_I981,7,6
125,Supplier_I126,15,3
126,Supplier_G891,6,4
127,Supplier_P127,11,12
128,Supplier_C830,2,7
129,Supplier_H273,10,1
130,Supplier_D405,9,13
131,Supplier_R323,9,9
132,Supplier_E650,8,14
133,Supplier_B271,15,1
134,Supplier_P511,14,5
135,Supplier_Y235,14,11
136,Supplier_U426,15,15
137,Supplier_D661,13,3
138,Supplier_B572,5,4
139,Supplier_J702,8,9
140,Supplier_I181,14,10
141,Supplier_P608,13,3
142,Supplier_D858,3,15
143,Supplier_B232,13,6
144,Supplier_N847,10,12
145,Supplier_R747,14,2
146,Supplier_O293,8,5
147,Supplier_W548,2,4
148,Supplier_U268,7,2
149,Supplier_L788,6,11
150,Supplier_B185,4,12
151,Supplier_I352,8,14
152,Supplier_X1,6,9
153,Supplier_T263,1,15
154,Supplier_E844,6,11
155,Supplier_Y545,13,12
156,Supplier_F282,9,5
157,Supplier_X520,3,8
158,Supplier_P169,4,10
159,Supplier_J10,3,5
160,Supplier_O228,4,2
161,Supplier_N124,10,3
162,Supplier_Z845,3,11
163,Supplier_X976,10,11
164,Supplier_V179,13,1
165,Supplier_Q392,6,10
166,Supplier_R860,8,3
167,Supplier_N800,9,1
168,Supplier_Z428,2,5
169,Supplier_K351,5,1
170,Supplier_H747,11,6
171,Supplier_X494,2,4
172,Supplier_U475,5,6
173,Supplier_G567,5,7
174,Supplier_V575,6,4
175,Supplier_J486,5,1
176,Supplier_D173,6,6
177,Supplier_V755,7,13
178,Supplier_J356,3,14
179,Supplier_F590,5,13
180,Supplier_X542,8,7
181,Supplier_W753,15,11
182,Supplier_O743,4,14
183,Supplier_L361,5,15
184,Supplier_Y811,1,15
185,Supplier_V941,13,6
186,Supplier_B795,4,14
187,Supplier_D245,3,10
188,Supplier_Q273,1,14
189,Supplier_J451,5,12
190,Supplier_L94,11,10
191,Supplier_E749,6,7
192,Supplier_E330,10,8
193,Supplier_E552,4,6
194,Supplier_D748,2,4
195,Supplier_D390,9,6
196,Supplier_X470,9,3
197,Supplier_J9,1,14
198,Supplier_L874,8,3
199,Supplier_X717,10,11
200,Supplier_N87,11,8
201,Supplier_P761,1,4
202,Supplier_S907,4,8
203,Supplier_U382,5,6
204,Supplier_M442,6,10
205,Supplier_T182,1,12
206,Supplier_A573,7,1
207,Supplier_R637,9,5
208,Supplier_Z644,3,5
209,Supplier_P75,7,15
210,Supplier_A100,5,4
211,Supplier_N456,7,13
212,Supplier_H953,8,11
213,Supplier_A278,12,10
214,Supplier_M501,1,8
215,Supplier_N122,7,8
216,Supplier_B494,2,2
217,Supplier_I555,13,9
218,Supplier_R460,9,5
219,Supplier_J137,5,10
220,Supplier_H743,15,10
221,Supplier_J862,2,6
222,Supplier_L821,2,2
223,Supplier_X232,7,5
224,Supplier_T281,12,10
225,Supplier_M997,1,14
226,Supplier_F325,3,4
227,Supplier_X220,10,5
228,Supplier_X168,3,8
229,Supplier_N154,12,8
230,Supplier_I720,12,5
231,Supplier_F818,9,13
232,Supplier_K385,13,2
233,Supplier_C651,11,8
234,Supplier_D948,9,11
235,Supplier_H822,12,4
236,Supplier_Z929,5,2
237,Supplier_U525,11,11
238,Supplier_B52,3,10
239,Supplier_C605,5,11
240,Supplier_Y11,11,13
241,Supplier_K660,15,15
242,Supplier_U173,9,7
243,Supplier_H947,2,11
244,Supplier_Z580,8,6
245,Supplier_Q748,3,15
246,Supplier_S564,7,15
247,Supplier_T532,6,6
248,Supplier_B281,10,4
249,Supplier_M978,1,3
250,Supplier_H564,13,14
251,Supplier_C766,8,9
252,Supplier_X414,7,10
253,Supplier_G338,10,1
254,Supplier_O787,14,10
255,Supplier_T948,4,11
256,Supplier_G896,4,11
257,Supplier_Y777,13,15
258,Supplier_K325,7,3
259,Supplier_H179,12,4
260,Supplier_R660,14,6
261,Supplier_D652,7,7
262,Supplier_L223,11,1
263,Supplier_V8,13,10
264,Supplier_D205,8,7
265,Supplier_I806,3,3
266,Supplier_Q741,12,12
267,Supplier_L919,14,12
268,Supplier_U456,5,15
269,Supplier_Q373,3,6
270,Supplier_P827,10,12
271,Supplier_Z741,4,4
272,Supplier_W906,9,3
273,Supplier_G109,14,10
274,Supplier_E686,13,3
275,Supplier_P750,10,7
276,Supplier_F984,8,10
277,Supplier_K458,1,5
278,Supplier_Z611,10,4
279,Supplier_G742,6,2
280,Supplier_J805,6,3
281,Supplier_D705,6,3
282,Supplier_O493,5,4
283,Supplier_F563,9,9
284,Supplier_U590,8,15
285,Supplier_F879,5,12
286,Supplier_D674,9,4
287,Supplier_H56,14,5
288,Supplier_V24,4,11
289,Supplier_M631,10,11
290,Supplier_C239,6,12
291,Supplier_Y51,9,4
292,Supplier_X312,10,6
293,Supplier_P950,9,5
294,Supplier_X758,2,9
295,Supplier_W983,3,4
296,Supplier_E977,14,4
297,Supplier_T346,7,4
298,Supplier_V142,3,7
299,Supplier_R497,5,10
300,Supplier_I984,7,14
301,Supplier_P278,7,5
302,Supplier_M282,7,4
303,Supplier_I958,3,6
304,Supplier_M90,9,6
305,Supplier_X447,4,13
306,Supplier_Y520,12,12
307,Supplier_I570,4,13
308,Supplier_F212,11,3
309,Supplier_H689,11,15
310,Supplier_I202,9,10
311,Supplier_I937,6,14
312,Supplier_W49,9,4
313,Supplier_S41,12,4
314,Supplier_A183,2,13
315,Supplier_G217,14,14
316,Supplier_B110,5,10
317,Supplier_B619,14,7
318,Supplier_F354,15,9
319,Supplier_Y221,4,1
320,Supplier_S736,14,9
321,Supplier_F429,12,3
322,Supplier_Q0,12,14
323,Supplier_C931,9,3
324,Supplier_Y724,10,12
325,Supplier_V489,4,7
326,Supplier_P558,13,12
327,Supplier_Q654,12,5
328,Supplier_W637,14,8
329,Supplier_T614,5,2
330,Supplier_P832,6,6
331,Supplier_E227,7,3
332,Supplier_I161,12,11
333,Supplier_K695,12,12
334,Supplier_X618,8,2
335,Supplier_R911,12,3
336,Supplier_S699,1,6
337,Supplier_C601,5,10
338,Supplier_K626,6,8
339,Supplier_T606,6,13
340,Supplier_U696,6,6
341,Supplier_B480,1,6
342,Supplier_N730,11,1
343,Supplier_F404,5,5
344,Supplier_B653,11,9
345,Supplier_X521,12,9
346,Supplier_N73,13,5
347,Supplier_O151,10,14
348,Supplier_K951,9,3
349,Supplier_P369,15,4
350,Supplier_B194,10,5
351,Supplier_I330,5,9
352,Supplier_S985,8,12
353,Supplier_N307,14,7
354,Supplier_O835,10,4
355,Supplier_Z187,2,4
356,Supplier_I385,14,4
357,Supplier_K293,4,5
358,Supplier_G311,7,14
359,Supplier_K333,10,7
360,Supplier_J930,14,9
361,Supplier_Z898,10,15
362,Supplier_G26,15,4
363,Supplier_X757,14,6
364,Supplier_H513,14,3
365,Supplier_Z465,12,10
366,Supplier_Y803,13,15
367,Supplier_Z368,6,9
368,Supplier_I604,10,1
369,Supplier_I475,7,9
370,Supplier_P572,2,1
371,Supplier_D218,14,3
372,Supplier_J205,11,11
373,Supplier_T760,6,6
374,Supplier_Z19,15,9
375,Supplier_G720,8,4
376,Supplier_F163,3,7
377,Supplier_K394,3,2
378,Supplier_G468,9,4
379,Supplier_F654,14,12
380,Supplier_W472,9,14
381,Supplier_K326,15,12
382,Supplier_U955,1,13
383,Supplier_X976,13,11
384,Supplier_O906,6,10
385,Supplier_J498,4,1
386,Supplier_F670,5,11
387,Supplier_E348,2,12
388,Supplier_L566,1,1
389,Supplier_L225,15,6
390,Supplier_P815,9,15
391,Supplier_K805,4,10
392,Supplier_T303,2,3
393,Supplier_E559,11,1
394,Supplier_U725,5,7
395,Supplier_L136,12,9
396,Supplier_Y515,10,4
397,Supplier_B531,8,12
398,Supplier_O580,10,14
399,Supplier_A42,4,5
400,Supplier_B253,13,2
401,Supplier_C431,5,3
402,Supplier_S847,15,13
403,Supplier_I224,11,8
404,Supplier_D795,2,4
405,Supplier_M768,9,13
406,Supplier_U276,2,12
407,Supplier_Y524,2,11
408,Supplier_F328,1,1
409,Supplier_G395,6,11
410,Supplier_J375,15,15
411,Supplier_W5,8,7
412,Supplier_V130,7,11
413,Supplier_D917,4,7
414,Supplier_P796,15,15
415,Supplier_Q935,6,11
416,Supplier_N68,2,12
417,Supplier_T345,7,9
418,Supplier_N569,8,1
419,Supplier_G877,13,2
420,Supplier_Q388,2,5
421,Supplier_V285,2,9
422,Supplier_D177,4,10
423,Supplier_J806,1,5
424,Supplier_F213,5,5
425,Supplier_B213,3,2
426,Supplier_K609,12,9
427,Supplier_B292,8,12
428,Supplier_G421,1,13
429,Supplier_E125,7,4
430,Supplier_M13,11,2
431,Supplier_A661,11,6
432,Supplier_Z31,15,13
433,Supplier_N354,5,12
434,Supplier_O515,1,5
435,Supplier_V501,14,13
436,Supplier_G817,9,11
437,Supplier_P241,13,2
438,Supplier_P694,14,7
439,Supplier_U537,4,5
440,Supplier_Q766,5,13
441,Supplier_G117,13,9
442,Supplier_M515,14,5
443,Supplier_A549,15,1
444,Supplier_A964,3,13
445,Supplier_Z156,5,10
446,Supplier_U526,7,7
447,Supplier_B534,8,4
448,Supplier_A70,3,12
449,Supplier_M489,3,10
450,Supplier_B557,11,11
451,Supplier_K895,14,6
452,Supplier_K602,1,6
453,Supplier_D274,9,13
454,Supplier_N515,12,4
455,Supplier_W39,6,2
456,Supplier_P132,14,10
457,Supplier_V691,15,11
458,Supplier_H453,6,2
459,Supplier_A752,15,4
460,Supplier_G335,15,10
461,Supplier_U136,12,13
462,Supplier_D791,9,2
463,Supplier_A800,13,2
464,Supplier_A562,14,14
465,Supplier_A198,15,1
466,Supplier_A463,8,7
467,Supplier_C531,3,5
468,Supplier_E55,1,11
469,Supplier_K778,10,11
470,Supplier_E456,6,5
471,Supplier_P150,13,11
472,Supplier_V149,6,13
473,Supplier_B247,4,13
474,Supplier_M271,8,11
475,Supplier_Y469,10,7
476,Supplier_P959,4,11
477,Supplier_P539,3,9
478,Supplier_Z552,13,13
479,Supplier_O837,3,10
480,Supplier_E905,15,14
481,Supplier_S346,9,11
482,Supplier_X49,2,1
483,Supplier_T714,8,8
484,Supplier_G361,8,7
485,Supplier_M624,4,4
486,Supplier_G509,8,2
487,Supplier_S472,2,13
488,Supplier_Z682,8,12
489,Supplier_R338,5,1
490,Supplier_O561,13,10
491,Supplier_E181,7,3
492,Supplier_B50,9,12
493,Supplier_O940,3,8
494,Supplier_F882,14,1
495,Supplier_N956,10,11
496,Supplier_L549,8,7
497,Supplier_S291,8,15
498,Supplier_V3,5,8
499,Supplier_I522,13,11
500,Supplier_Y198,3,11
501,Supplier_W972,1,15
502,Supplier_O282,7,1
503,Supplier_G740,7,15
504,Supplier_S508,3,9
505,Supplier_X938,6,12
506,Supplier_O939,12,12
507,Supplier_S974,3,7
508,Supplier_F642,11,2
509,Supplier_E59,2,15
510,Supplier_N835,15,10
511,Supplier_C69,5,9
512,Supplier_C444,3,5
513,Supplier_A770,4,10
514,Supplier_I918,6,8
515,Supplier_A853,4,13
516,Supplier_U56,5,8
517,Supplier_X470,13,11
518,Supplier_D408,3,1
519,Supplier_B242,14,9
520,Supplier_K762,14,4
521,Supplier_B673,8,14
522,Supplier_P886,15,8
523,Supplier_J746,2,3
524,Supplier_E406,2,11
525,Supplier_W232,4,4
526,Supplier_S373,14,2
527,Supplier_A24,10,3
528,Supplier_M840,13,1
529,Supplier_W280,6,13
530,Supplier_X232,15,3
531,Supplier_Q481,11,8
532,Supplier_Q270,1,4
533,Supplier_V238,12,8
534,Supplier_Z381,2,2
535,Supplier_Y906,9,11
536,Supplier_N300,9,6
537,Supplier_T229,1,2
538,Supplier_J737,6,4
539,Supplier_J663,7,8
540,Supplier_E742,6,6
541,Supplier_F387,8,14
542,Supplier_K134,13,5
543,Supplier_M389,5,10
544,Supplier_R208,3,7
545,Supplier_K948,12,15
546,Supplier_W739,12,5
547,Supplier_E576,6,11
548,Supplier_U624,3,2
549,Supplier_F188,14,1
550,Supplier_R275,10,13
551,Supplier_E948,14,7
552,Supplier_E26,3,10
553,Supplier_Y168,14,14
554,Supplier_X163,10,13
555,Supplier_I247,15,3
556,Supplier_K186,5,6
557,Supplier_I340,3,5
558,Supplier_L536,1,9
559,Supplier_P20,10,15
560,Supplier_S972,2,6
561,Supplier_V94,9,11
562,Supplier_Y166,7,4
563,Supplier_Z993,8,9
564,Supplier_W398,3,3
565,Supplier_Q536,8,7
566,Supplier_I105,10,14
567,Supplier_G489,8,3
568,Supplier_T132,7,2
569,Supplier_J289,4,1
570,Supplier_S990,13,7
571,Supplier_V9,2,14
572,Supplier_X26,14,5
573,Supplier_Y596,7,8
574,Supplier_M722,10,3
575,Supplier_D670,1,14
576,Supplier_A852,14,14
577,Supplier_R814,4,11
578,Supplier_Z393,13,9
579,Supplier_U612,5,1
580,Supplier_B552,11,11
581,Supplier_W707,10,11
582,Supplier_V887,10,8
583,Supplier_P319,9,12
584,Supplier_G546,2,11
585,Supplier_G784,11,13
586,Supplier_A329,15,11
587,Supplier_M653,8,14
588,Supplier_S774,1,15
589,Supplier_N466,12,5
590,Supplier_G428,7,5
591,Supplier_F322,13,13
592,Supplier_B121,13,1
593,Supplier_W828,13,15
594,Supplier_V508,9,14
595,Supplier_H49,5,7
596,Supplier_V655,14,15
597,Supplier_U556,13,6
598,Supplier_J253,15,8
599,Supplier_T48,3,2
600,Supplier_C292,9,12
601,Supplier_O373,9,13
602,Supplier_G796,14,10
603,Supplier_V187,9,6
604,Supplier_W14,4,8
605,Supplier_H341,9,4
606,Supplier_C870,3,3
607,Supplier_M327,10,4
608,Supplier_A473,3,5
609,Supplier_B480,1,3
610,Supplier_E663,3,1
611,Supplier_M280,6,15
612,Supplier_T777,6,9
613,Supplier_G450,7,12
614,Supplier_I795,12,9
615,Supplier_H43,15,15
616,Supplier_E115,11,9
617,Supplier_O985,2,2
618,Supplier_X712,8,12
619,Supplier_O412,6,13
620,Supplier_L51,6,8
621,Supplier_F47,9,7
622,Supplier_T728,8,3
623,Supplier_O271,5,9
624,Supplier_G758,15,12
625,Supplier_M466,10,7
626,Supplier_N194,2,13
627,Supplier_F122,5,10
628,Supplier_W712,1,2
629,Supplier_I727,4,11
630,Supplier_V562,13,14
631,Supplier_O696,14,11
632,Supplier_A477,4,4
633,Supplier_T714,13,1
634,Supplier_Q379,5,14
635,Supplier_D94,14,14
636,Supplier_S876,3,13
637,Supplier_L935,11,4
638,Supplier_T859,2,1
639,Supplier_Q985,14,13
640,Supplier_S966,12,1
641,Supplier_N11,6,13
642,Supplier_L598,3,12
643,Supplier_U325,1,3
644,Supplier_E634,2,10
645,Supplier_S298,2,15
646,Supplier_L520,6,15
647,Supplier_M543,13,11
648,Supplier_J844,8,13
649,Supplier_R274,14,15
650,Supplier_N982,7,11
651,Supplier_W987,7,3
652,Supplier_G48,12,13
653,Supplier_D301,14,2
654,Supplier_D157,12,3
655,Supplier_H477,11,10
656,Supplier_A547,13,12
657,Supplier_E362,1,12
658,Supplier_X289,7,6
659,Supplier_R291,13,15
660,Supplier_C793,2,15
661,Supplier_O467,14,5
662,Supplier_I823,9,3
663,Supplier_E760,13,8
664,Supplier_A911,9,14
665,Supplier_J239,10,1
666,Supplier_J226,10,13
667,Supplier_M529,15,12
668,Supplier_D433,7,8
669,Supplier_P121,11,14
670,Supplier_E984,11,2
671,Supplier_P771,5,7
672,Supplier_B220,2,3
673,Supplier_L902,6,8
674,Supplier_W349,6,4
675,Supplier_F283,6,5
676,Supplier_T108,7,4
677,Supplier_K123,15,15
678,Supplier_H853,5,6
679,Supplier_T403,8,2
680,Supplier_Q414,8,10
681,Supplier_U915,3,7
682,Supplier_F462,10,15
683,Supplier_Y634,8,13
684,Supplier_G254,5,8
685,Supplier_H884,8,9
686,Supplier_Z667,2,9
687,Supplier_T420,2,12
688,Supplier_Q705,12,5
689,Supplier_T361,4,8
690,Supplier_K49,11,11
691,Supplier_O669,15,3
692,Supplier_X275,9,3
693,Supplier_H136,9,3
694,Supplier_J20,12,2
695,Supplier_K25,4,1
696,Supplier_J833,4,13
697,Supplier_S757,9,12
698,Supplier_H802,1,10
699,Supplier_Q621,1,4
700,Supplier_W711,13,3
701,Supplier_K204,11,1
702,Supplier_Q398,9,4
703,Supplier_F222,12,4
704,Supplier_J770,14,6
705,Supplier_E858,9,6
706,Supplier_M533,15,5
707,Supplier_L961,5,6
708,Supplier_N543,11,10
709,Supplier_K916,4,14
710,Supplier_L163,13,13
711,Supplier_E848,9,6
712,Supplier_W80,3,2
713,Supplier_Q61,3,5
714,Supplier_L422,10,12
715,Supplier_J826,10,6
716,Supplier_Y157,10,5
717,Supplier_Y779,15,14
718,Supplier_S801,13,2
719,Supplier_J395,15,5
720,Supplier_K488,5,4
721,Supplier_E233,11,10
722,Supplier_B113,4,3
723,Supplier_N231,2,5
724,Supplier_L990,3,8
725,Supplier_R333,10,11
726,Supplier_O338,10,3
727,Supplier_J450,11,12
728,Supplier_O564,7,9
729,Supplier_A971,13,4
730,Supplier_W498,7,4
731,Supplier_K306,11,8
732,Supplier_Z886,3,2
733,Supplier_I824,14,7
734,Supplier_S764,10,4
735,Supplier_N578,12,13
736,Supplier_Q49,8,2
737,Supplier_O215,11,8
738,Supplier_B477,6,13
739,Supplier_C623,8,5
740,Supplier_N481,8,4
741,Supplier_T509,11,4
742,Supplier_Q642,12,6
743,Supplier_E166,8,2
744,Supplier_J867,11,14
745,Supplier_E880,14,2
746,Supplier_I982,11,4
747,Supplier_S675,9,1
748,Supplier_F548,15,4
749,Supplier_O314,1,14
750,Supplier_C183,4,4
751,Supplier_L179,12,13
752,Supplier_P255,9,9
753,Supplier_O386,12,8
754,Supplier_T161,14,9
755,Supplier_R241,6,15
756,Supplier_J473,10,6
757,Supplier_J507,13,11
758,Supplier_K817,4,7
759,Supplier_U948,11,2
760,Supplier_Y639,1,3
761,Supplier_Q666,3,7
762,Supplier_B827,4,13
763,Supplier_Q342,10,9
764,Supplier_V997,1,4
765,Supplier_L787,15,9
766,Supplier_E563,2,8
767,Supplier_F446,3,12
768,Supplier_R96,3,9
769,Supplier_G68,8,7
770,Supplier_O878,9,1
771,Supplier_T950,10,13
772,Supplier_H381,6,15
773,Supplier_Q351,9,14
774,Supplier_X608,3,5
775,Supplier_R188,11,4
776,Supplier_K983,10,12
777,Supplier_G979,14,4
778,Supplier_A767,7,2
779,Supplier_Q116,11,10
780,Supplier_Q531,10,10
781,Supplier_P402,7,10
782,Supplier_W934,8,1
783,Supplier_J155,15,4
784,Supplier_D718,15,6
785,Supplier_K459,11,6
786,Supplier_Z162,14,8
787,Supplier_Y677,7,5
788,Supplier_V268,7,11
789,Supplier_S193,7,4
790,Supplier_R544,2,5
791,Supplier_Y510,3,7
792,Supplier_A931,14,14
793,Supplier_U185,3,15
794,Supplier_O484,6,7
795,Supplier_K612,4,13
796,Supplier_U85,4,4
797,Supplier_S384,12,5
798,Supplier_Q338,12,8
799,Supplier_Z338,9,3
800,Supplier_U344,15,11
801,Supplier_U401,9,10
802,Supplier_R639,5,11
803,Supplier_L981,4,14
804,Supplier_R448,4,10
805,Supplier_A746,7,12
806,Supplier_P112,11,6
807,Supplier_E714,9,6
808,Supplier_Z307,6,6
809,Supplier_Y238,4,6
810,Supplier_E504,3,11
811,Supplier_Y981,1,12
812,Supplier_Y419,6,15
813,Supplier_E851,11,1
814,Supplier_E566,14,7
815,Supplier_G499,13,1
816,Supplier_F542,12,13
817,Supplier_H341,12,9
818,Supplier_Y380,8,8
819,Supplier_L352,9,1
820,Supplier_T881,14,7
821,Supplier_H384,7,3
822,Supplier_W664,8,5
823,Supplier_K337,2,4
824,Supplier_H431,10,4
825,Supplier_S801,7,8
826,Supplier_P893,14,12
827,Supplier_R665,6,12
828,Supplier_P901,14,5
829,Supplier_W676,7,5
830,Supplier_T706,15,3
831,Supplier_U335,2,9
832,Supplier_Z32,4,2
833,Supplier_H863,8,1
834,Supplier_L993,14,15
835,Supplier_B485,2,2
836,Supplier_Y357,2,5
837,Supplier_A109,6,11
838,Supplier_M528,13,12
839,Supplier_L233,8,1
840,Supplier_F399,11,11
841,Supplier_Z530,13,15
842,Supplier_Z626,15,14
843,Supplier_R128,8,3
844,Supplier_S979,2,13
845,Supplier_L252,1,7
846,Supplier_F878,12,14
847,Supplier_Q252,9,2
848,Supplier_R591,2,12
849,Supplier_I239,6,5
850,Supplier_Z566,9,3
851,Supplier_O404,8,11
852,Supplier_S725,4,6
853,Supplier_M711,1,14
854,Supplier_C328,8,10
855,Supplier_J908,3,14
856,Supplier_K963,4,14
857,Supplier_Z489,12,5
858,Supplier_J160,1,6
859,Supplier_Z728,4,4
860,Supplier_K214,9,14
861,Supplier_M818,7,9
862,Supplier_Z898,9,3
863,Supplier_L676,3,1
864,Supplier_F809,10,12
865,Supplier_Z485,12,1
866,Supplier_U579,6,9
867,Supplier_S30,7,3
868,Supplier_W490,10,2
869,Supplier_B264,11,1
870,Supplier_M920,1,13
871,Supplier_D865,11,13
872,Supplier_R748,4,2
873,Supplier_T199,8,1
874,Supplier_U573,9,10
875,Supplier_W154,14,13
876,Supplier_Z444,10,3
877,Supplier_C702,9,7
878,Supplier_O374,4,3
879,Supplier_V742,2,15
880,Supplier_Q640,11,11
881,Supplier_X274,9,12
882,Supplier_T320,2,13
883,Supplier_W361,12,3
884,Supplier_Z674,13,2
885,Supplier_E167,15,12
886,Supplier_A944,12,12
887,Supplier_S168,14,7
888,Supplier_E488,7,3
889,Supplier_Y818,1,4
890,Supplier_F18,12,11
891,Supplier_Q655,7,8
892,Supplier_O647,12,9
893,Supplier_Z528,7,15
894,Supplier_C715,2,3
895,Supplier_V74,10,12
896,Supplier_Z626,9,14
897,Supplier_R924,5,1
898,Supplier_R270,13,11
899,Supplier_X871,13,10
900,Supplier_R191,10,2
901,Supplier_I108,9,15
902,Supplier_G881,9,14
903,Supplier_I969,7,13
904,Supplier_E129,11,3
905,Supplier_C484,3,12
906,Supplier_R392,7,9
907,Supplier_A293,6,7
908,Supplier_K462,7,11
909,Supplier_C928,4,9
910,Supplier_A343,11,10
911,Supplier_I712,4,3
912,Supplier_E569,11,14
913,Supplier_U141,9,11
914,Supplier_H691,2,7
915,Supplier_A270,3,3
916,Supplier_P472,1,4
917,Supplier_B583,1,11
918,Supplier_Y129,15,2
919,Supplier_W540,3,14
920,Supplier_Q942,7,4
921,Supplier_K611,15,12
922,Supplier_Y493,15,7
923,Supplier_N766,5,15
924,Supplier_V689,2,12
925,Supplier_Q222,11,5
926,Supplier_P180,3,8
927,Supplier_D952,4,15
928,Supplier_W340,10,3
929,Supplier_F123,14,14
930,Supplier_I249,1,10
931,Supplier_F320,3,4
932,Supplier_A421,5,1
933,Supplier_M736,10,13
934,Supplier_N538,13,10
935,Supplier_T681,6,3
936,Supplier_G95,8,1
937,Supplier_R705,15,11
938,Supplier_F691,5,7
939,Supplier_S129,9,7
940,Supplier_G640,7,9
941,Supplier_V66,9,10
942,Supplier_X681,12,3
943,Supplier_S155,11,5
944,Supplier_O315,9,15
945,Supplier_C888,8,4
946,Supplier_C71,2,8
947,Supplier_D828,3,8
948,Supplier_I870,15,3
949,Supplier_E704,10,14
950,Supplier_F11,9,10
951,Supplier_U521,9,3
952,Supplier_V596,1,8
953,Supplier_B485,1,3
954,Supplier_L793,6,3
955,Supplier_O678,12,15
956,Supplier_M51,8,8
957,Supplier_S845,9,3
958,Supplier_L845,14,2
959,Supplier_M111,10,13
960,Supplier_X70,14,12
961,Supplier_M499,11,2
962,Supplier_C133,15,2
963,Supplier_N578,10,7
964,Supplier_E355,6,7
965,Supplier_C629,12,8
966,Supplier_Y508,13,12
967,Supplier_Q42,10,12
968,Supplier_S389,1,8
969,Supplier_T927,8,9
970,Supplier_I943,2,1
971,Supplier_V21,9,8
972,Supplier_M258,10,11
973,Supplier_E845,3,1
974,Supplier_M378,5,11
975,Supplier_W678,7,8
976,Supplier_T582,6,5
977,Supplier_O804,5,10
978,Supplier_X203,11,15
979,Supplier_L154,5,6
980,Supplier_S692,9,13
981,Supplier_O73,11,1
982,Supplier_L829,12,9
983,Supplier_F934,5,3
984,Supplier_K363,4,9
985,Supplier_V215,4,2
986,Supplier_X613,5,13
